path_id,actor,step,goal,page_module,input,event,state_before,state_after,output,error_exception,document,personal_data,risk,handoff,evidence_state,evidence_url,observed_at,confidence,notes
B01,buyer_guest,1,Enter marketplace,https://www.made-in-china.com/,guest intent,B01.evaluated,previous,home,categories/services,personalized content,none generated,none submitted,guest/documented only,PM/UX/ENG/SUP/BUY,observed,https://www.made-in-china.com/,2026-08-24,high,
B02,buyer_guest,2,Search/filter,https://activity.made-in-china.com/show/xQrasYIbFmVA/sxutRkLPIEVl/Help_How_to_Source_Products,guest intent,B02.evaluated,previous,results,documented filters,live query not run,none generated,none submitted,guest/documented only,PM/UX/ENG/SUP/BUY,observed,https://activity.made-in-china.com/show/xQrasYIbFmVA/sxutRkLPIEVl/Help_How_to_Source_Products,2026-08-24,high,
B03,buyer_guest,3,Inspect product,https://wewinchina.en.made-in-china.com/product/JFpnNejMhtcm/China-360W-5000-Rpm-High-Power-High-Speed-Electric-DC-Brush-Motor-with-Hall-Encoder.html,guest intent,B03.evaluated,previous,pdp,price/sample/protection,supplier data,none generated,none submitted,guest/documented only,PM/UX/ENG/SUP/BUY,observed,https://wewinchina.en.made-in-china.com/product/JFpnNejMhtcm/China-360W-5000-Rpm-High-Power-High-Speed-Electric-DC-Brush-Motor-with-Hall-Encoder.html,2026-08-24,high,
B04,buyer_guest,4,Assess supplier,https://www.made-in-china.com/audited-suppliers/for-buyers/,guest intent,B04.evaluated,previous,assessed,audit/badges/report,not guarantee,none generated,none submitted,guest/documented only,PM/UX/ENG/SUP/BUY,observed,https://www.made-in-china.com/audited-suppliers/for-buyers/,2026-08-24,high,
B05,buyer_guest,5,Inquiry/chat,https://activity.made-in-china.com/show/xQrasYIbFmVA/sxutRkLPIEVl/Help_How_to_Source_Products,guest intent,B05.evaluated,previous,auth_gate,documented contact,not submitted,none generated,none submitted,guest/documented only,PM/UX/ENG/SUP/BUY,observed,https://activity.made-in-china.com/show/xQrasYIbFmVA/sxutRkLPIEVl/Help_How_to_Source_Products,2026-08-24,high,
B06,buyer_guest,6,Post RFQ,https://activity.made-in-china.com/show/xQrasYIbFmVA/sxutRkLPIEVl/Help_How_to_Source_Products,guest intent,B06.evaluated,previous,rfq_gate,multiple quotes,not submitted,none generated,none submitted,guest/documented only,PM/UX/ENG/SUP/BUY,observed,https://activity.made-in-china.com/show/xQrasYIbFmVA/sxutRkLPIEVl/Help_How_to_Source_Products,2026-08-24,high,
B07,buyer_guest,7,Start order,https://activity.made-in-china.com/show/xQrasYIbFmVA/sxutRkLPIEVl/Help_How_to_Source_Products,guest intent,B07.evaluated,previous,order_gate,STS order flow,not submitted,none generated,none submitted,guest/documented only,PM/UX/ENG/SUP/BUY,observed,https://activity.made-in-china.com/show/xQrasYIbFmVA/sxutRkLPIEVl/Help_How_to_Source_Products,2026-08-24,high,
B08,buyer_guest,8,Pay,https://trading.made-in-china.com/buyerfaq,guest intent,B08.evaluated,previous,payment_not_executed,fees/methods,region/limits,none generated,none submitted,guest/documented only,PM/UX/ENG/SUP/BUY,observed,https://trading.made-in-china.com/buyerfaq,2026-08-24,high,
B09,buyer_guest,9,Track/inspect,https://wewinchina.en.made-in-china.com/product/JFpnNejMhtcm/China-360W-5000-Rpm-High-Power-High-Speed-Electric-DC-Brush-Motor-with-Hall-Encoder.html,guest intent,B09.evaluated,previous,not_executed,logistics/inspection,no order,none generated,none submitted,guest/documented only,PM/UX/ENG/SUP/BUY,observed,https://wewinchina.en.made-in-china.com/product/JFpnNejMhtcm/China-360W-5000-Rpm-High-Power-High-Speed-Electric-DC-Brush-Motor-with-Hall-Encoder.html,2026-08-24,high,
B10,buyer_guest,10,Confirm/refund/dispute,https://trading.made-in-china.com/buyerfaq,guest intent,B10.evaluated,previous,not_executed,release/refund states,eligibility,none generated,none submitted,guest/documented only,PM/UX/ENG/SUP/BUY,observed,https://trading.made-in-china.com/buyerfaq,2026-08-24,high,
S01,seller_guest,1,Register supplier,https://www.made-in-china.com/aboutus/main/,guest intent,S01.evaluated,previous,registration_gate,supplier route,not submitted,none generated,none submitted,guest/documented only,PM/UX/ENG/SUP/BUY,observed,https://www.made-in-china.com/aboutus/main/,2026-08-24,high,
S02,seller_guest,2,Choose membership,https://www.made-in-china.com/aboutus/main/,guest intent,S02.evaluated,previous,plan_unknown,membership/service market,fees not public,none generated,none submitted,guest/documented only,PM/UX/ENG/SUP/BUY,observed,https://www.made-in-china.com/aboutus/main/,2026-08-24,high,
S03,seller_guest,3,Business audit,https://www.made-in-china.com/audited-suppliers/for-buyers/,guest intent,S03.evaluated,previous,audit_documented,third-party process,not executed,none generated,none submitted,guest/documented only,PM/UX/ENG/SUP/BUY,observed,https://www.made-in-china.com/audited-suppliers/for-buyers/,2026-08-24,high,
S04,seller_guest,4,Build showroom/products,https://www.made-in-china.com/aboutus/main/,guest intent,S04.evaluated,previous,auth_gate,management modules,not accessed,none generated,none submitted,guest/documented only,PM/UX/ENG/SUP/BUY,observed,https://www.made-in-china.com/aboutus/main/,2026-08-24,high,
S05,seller_guest,5,Receive inquiries,https://activity.made-in-china.com/show/xQrasYIbFmVA/sxutRkLPIEVl/Help_How_to_Source_Products,guest intent,S05.evaluated,previous,documented,inquiry/chat,not received,none generated,none submitted,guest/documented only,PM/UX/ENG/SUP/BUY,observed,https://activity.made-in-china.com/show/xQrasYIbFmVA/sxutRkLPIEVl/Help_How_to_Source_Products,2026-08-24,high,
S06,seller_guest,6,Quote RFQ,https://www.made-in-china.com/aboutus/main/,guest intent,S06.evaluated,previous,auth_gate,requests/quotes modules,not submitted,none generated,none submitted,guest/documented only,PM/UX/ENG/SUP/BUY,observed,https://www.made-in-china.com/aboutus/main/,2026-08-24,high,
S07,seller_guest,7,Create STS order,https://trading.made-in-china.com/buyerfaq,guest intent,S07.evaluated,previous,not_executed,quotation/payment states,no order,none generated,none submitted,guest/documented only,PM/UX/ENG/SUP/BUY,observed,https://trading.made-in-china.com/buyerfaq,2026-08-24,high,
S08,seller_guest,8,Ship/inspection,https://wewinchina.en.made-in-china.com/product/JFpnNejMhtcm/China-360W-5000-Rpm-High-Power-High-Speed-Electric-DC-Brush-Motor-with-Hall-Encoder.html,guest intent,S08.evaluated,previous,not_executed,logistics/inspection,no shipment,none generated,none submitted,guest/documented only,PM/UX/ENG/SUP/BUY,observed,https://wewinchina.en.made-in-china.com/product/JFpnNejMhtcm/China-360W-5000-Rpm-High-Power-High-Speed-Electric-DC-Brush-Motor-with-Hall-Encoder.html,2026-08-24,high,
S09,seller_guest,9,Release/refund/dispute,https://trading.made-in-china.com/buyerfaq,guest intent,S09.evaluated,previous,not_executed,completion/refund states,no dispute,none generated,none submitted,guest/documented only,PM/UX/ENG/SUP/BUY,observed,https://trading.made-in-china.com/buyerfaq,2026-08-24,high,
