record_id,dimension_id,group,field_name,question,evidence_state,observed_fact,evidence_url,evidence_type,observed_at,region,access_mode,confidence,actor,input,output,page_module,entity,event,state,error_exception,document,personal_data,risk,handoff,inference,gap_reason,next_method,product_implication,metric_name,metric_value,metric_unit,metric_currency,metric_period,metric_territory,metric_classification,metric_method,metric_publisher,source_title,source_publication_date
D00.1,D00,D00 Positioning,positioning_audience_geography,"What is the platform position, audience, geography, category breadth and proposition?",observed,Comprehensive foreign-trade service platform connecting Chinese suppliers and overseas buyers.,https://www.made-in-china.com/aboutus/main/,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode,"guest; no account, inquiry, RFQ, order or payment submitted",high,guest buyer / supplier / platform as applicable,Dimension-specific user intent or prerequisite,Comprehensive foreign-trade service platform connecting Chinese suppliers and overseas buyers.,https://www.made-in-china.com/aboutus/main/,Positioning Audience Geography,positioning_audience_geography.evaluated,guest/public -> recorded,Authenticated/transaction/region edge cases not executed,No real document submitted; public policy/order/audit artifacts only,No personal data submitted; policy fields noted where relevant,Sample/publisher claims require scope and region validation,PM/UX/ENG/SUP/BUY plus specialist owner,Limited to cited evidence,,,"Preserve provenance, state, exception, personal-data risk and handoff",registered buyer members,39825000+,members,not applicable,about snapshot,global,publisher claim,publisher-stated,Made-in-China.com,About Us,not stated
D01.1,D01,D01-D10 Discovery,home_page,What does the guest homepage expose?,observed,"Homepage exposes categories, sourcing promotions, Secured Trading, supplier/buyer entry and discovery.",https://www.made-in-china.com/,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode,"guest; no account, inquiry, RFQ, order or payment submitted",high,guest buyer / supplier / platform as applicable,Dimension-specific user intent or prerequisite,"Homepage exposes categories, sourcing promotions, Secured Trading, supplier/buyer entry and discovery.",https://www.made-in-china.com/,Home Page,home_page.evaluated,guest/public -> recorded,Authenticated/transaction/region edge cases not executed,No real document submitted; public policy/order/audit artifacts only,No personal data submitted; policy fields noted where relevant,Sample/publisher claims require scope and region validation,PM/UX/ENG/SUP/BUY plus specialist owner,Limited to cited evidence,,,"Preserve provenance, state, exception, personal-data risk and handoff",,,,,,,,,,,
D02.1,D02,D01-D10 Discovery,global_navigation,Are core destinations visible?,observed,Navigation separates buyer search/RFQ/audit/trading and supplier membership/products/showroom/RFQ.,https://www.made-in-china.com/aboutus/main/,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode,"guest; no account, inquiry, RFQ, order or payment submitted",high,guest buyer / supplier / platform as applicable,Dimension-specific user intent or prerequisite,Navigation separates buyer search/RFQ/audit/trading and supplier membership/products/showroom/RFQ.,https://www.made-in-china.com/aboutus/main/,Global Navigation,global_navigation.evaluated,guest/public -> recorded,Authenticated/transaction/region edge cases not executed,No real document submitted; public policy/order/audit artifacts only,No personal data submitted; policy fields noted where relevant,Sample/publisher claims require scope and region validation,PM/UX/ENG/SUP/BUY plus specialist owner,Limited to cited evidence,,,"Preserve provenance, state, exception, personal-data risk and handoff",,,,,,,,,,,
D03.1,D03,D01-D10 Discovery,search_entry,What search scopes and input constraints are visible?,observed,Search supports product/supplier keywords and result refinement.,https://activity.made-in-china.com/show/xQrasYIbFmVA/sxutRkLPIEVl/Help_How_to_Source_Products,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode,"guest; no account, inquiry, RFQ, order or payment submitted",high,guest buyer / supplier / platform as applicable,Dimension-specific user intent or prerequisite,Search supports product/supplier keywords and result refinement.,https://activity.made-in-china.com/show/xQrasYIbFmVA/sxutRkLPIEVl/Help_How_to_Source_Products,Search Entry,search_entry.evaluated,guest/public -> recorded,Authenticated/transaction/region edge cases not executed,No real document submitted; public policy/order/audit artifacts only,No personal data submitted; policy fields noted where relevant,Sample/publisher claims require scope and region validation,PM/UX/ENG/SUP/BUY plus specialist owner,Limited to cited evidence,,,"Preserve provenance, state, exception, personal-data risk and handoff",,,,,,,,,,,
D04.1,D04,D01-D10 Discovery,search_results,What result layout and count appear for a reproducible query?,observed-not-found,No sufficient guest/public evidence found for this dimension.,https://www.made-in-china.com/robots.txt,official-policy,2026-08-24,Amsterdam/NL sandbox; guest mode,"guest; no account, inquiry, RFQ, order or payment submitted",medium,guest buyer / supplier / platform as applicable,Dimension-specific user intent or prerequisite,No sufficient guest/public evidence found for this dimension.,https://www.made-in-china.com/robots.txt,Search Results,search_results.evaluated,guest/public -> observed-not-found,live search not executed,No real document submitted; public policy/order/audit artifacts only,No personal data submitted; policy fields noted where relevant,Sample/publisher claims require scope and region validation,PM/UX/ENG/SUP/BUY plus specialist owner,Limited to cited evidence,live search not executed,Use authorized manual/authenticated testing or current official help without submitting real transaction data.,"Preserve provenance, state, exception, personal-data risk and handoff",,,,,,,,,,,
D05.1,D05,D01-D10 Discovery,category_taxonomy,Is a category hierarchy visible?,observed,About page exposes 27 industries and thousands of categories.,https://www.made-in-china.com/aboutus/main/,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode,"guest; no account, inquiry, RFQ, order or payment submitted",high,guest buyer / supplier / platform as applicable,Dimension-specific user intent or prerequisite,About page exposes 27 industries and thousands of categories.,https://www.made-in-china.com/aboutus/main/,Category Taxonomy,category_taxonomy.evaluated,guest/public -> recorded,Authenticated/transaction/region edge cases not executed,No real document submitted; public policy/order/audit artifacts only,No personal data submitted; policy fields noted where relevant,Sample/publisher claims require scope and region validation,PM/UX/ENG/SUP/BUY plus specialist owner,Limited to cited evidence,,,"Preserve provenance, state, exception, personal-data risk and handoff",industries,27,industries,not applicable,about snapshot,global,taxonomy claim,publisher-stated,Made-in-China.com,About Us,not stated
D06.1,D06,D01-D10 Discovery,filters,Are filters evidenced?,observed,Guide documents left-side filters and Audited Supplier label.,https://activity.made-in-china.com/show/xQrasYIbFmVA/sxutRkLPIEVl/Help_How_to_Source_Products,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode,"guest; no account, inquiry, RFQ, order or payment submitted",high,guest buyer / supplier / platform as applicable,Dimension-specific user intent or prerequisite,Guide documents left-side filters and Audited Supplier label.,https://activity.made-in-china.com/show/xQrasYIbFmVA/sxutRkLPIEVl/Help_How_to_Source_Products,Filters,filters.evaluated,guest/public -> recorded,Authenticated/transaction/region edge cases not executed,No real document submitted; public policy/order/audit artifacts only,No personal data submitted; policy fields noted where relevant,Sample/publisher claims require scope and region validation,PM/UX/ENG/SUP/BUY plus specialist owner,Limited to cited evidence,,,"Preserve provenance, state, exception, personal-data risk and handoff",,,,,,,,,,,
D07.1,D07,D01-D10 Discovery,sorting,Which sort controls and defaults exist?,observed,Sample results expose product/price/MOQ/member/audit cues; sort default not exhaustively checked.,https://www.made-in-china.com/products-search/hot-china-products/Price_Mc_For_Sale.html,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode,"guest; no account, inquiry, RFQ, order or payment submitted",medium,guest buyer / supplier / platform as applicable,Dimension-specific user intent or prerequisite,Sample results expose product/price/MOQ/member/audit cues; sort default not exhaustively checked.,https://www.made-in-china.com/products-search/hot-china-products/Price_Mc_For_Sale.html,Sorting,sorting.evaluated,guest/public -> recorded,Authenticated/transaction/region edge cases not executed,No real document submitted; public policy/order/audit artifacts only,No personal data submitted; policy fields noted where relevant,Sample/publisher claims require scope and region validation,PM/UX/ENG/SUP/BUY plus specialist owner,Limited to cited evidence,,,"Preserve provenance, state, exception, personal-data risk and handoff",,,,,,,,,,,
D08.1,D08,D01-D10 Discovery,listing_card,What appears on a guest product card?,observed,"Result cards show title, tiered price, MOQ, membership, Audited Supplier and business type.",https://www.made-in-china.com/products-search/hot-china-products/Price_Mc_For_Sale.html,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode,"guest; no account, inquiry, RFQ, order or payment submitted",medium,guest buyer / supplier / platform as applicable,Dimension-specific user intent or prerequisite,"Result cards show title, tiered price, MOQ, membership, Audited Supplier and business type.",https://www.made-in-china.com/products-search/hot-china-products/Price_Mc_For_Sale.html,Listing Card,listing_card.evaluated,guest/public -> recorded,Authenticated/transaction/region edge cases not executed,No real document submitted; public policy/order/audit artifacts only,No personal data submitted; policy fields noted where relevant,Sample/publisher claims require scope and region validation,PM/UX/ENG/SUP/BUY plus specialist owner,Limited to cited evidence,,,"Preserve provenance, state, exception, personal-data risk and handoff",,,,,,,,,,,
D09.1,D09,D01-D10 Discovery,product_detail,Which product fields/actions appear?,observed,"PDP shows tiered price, sample, inquiry/chat, specs, protection, payments, logistics, inspection and supplier cues.",https://wewinchina.en.made-in-china.com/product/JFpnNejMhtcm/China-360W-5000-Rpm-High-Power-High-Speed-Electric-DC-Brush-Motor-with-Hall-Encoder.html,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode,"guest; no account, inquiry, RFQ, order or payment submitted",high,guest buyer / supplier / platform as applicable,Dimension-specific user intent or prerequisite,"PDP shows tiered price, sample, inquiry/chat, specs, protection, payments, logistics, inspection and supplier cues.",https://wewinchina.en.made-in-china.com/product/JFpnNejMhtcm/China-360W-5000-Rpm-High-Power-High-Speed-Electric-DC-Brush-Motor-with-Hall-Encoder.html,Product Detail,product_detail.evaluated,guest/public -> recorded,Authenticated/transaction/region edge cases not executed,No real document submitted; public policy/order/audit artifacts only,No personal data submitted; policy fields noted where relevant,Sample/publisher claims require scope and region validation,PM/UX/ENG/SUP/BUY plus specialist owner,Limited to cited evidence,,,"Preserve provenance, state, exception, personal-data risk and handoff",sample lowest tier price,18,USD per piece,USD,2000+ pieces,China supplier,sample listing,direct,Supplier via Made-in-China.com,Motor PDP,dynamic
