path_id,actor,step,goal,page_module,input,event,state_before,state_after,output,error_exception,document,personal_data,risk,handoff,evidence_state,evidence_url,observed_at,confidence,notes
B01,buyer_guest,1,Enter marketplace,https://www.indiamart.com/,guest intent,B01.evaluated,previous,home,Enter marketplace,India-centric,none,none submitted,regional/lead path only,PM/UX/ENG/SUP/BUY,observed,https://www.indiamart.com/,2026-08-24,high,
B02,buyer_guest,2,Discover category/product,https://www.indiamart.com/,guest intent,B02.evaluated,previous,discovery,Discover category/product,live query not run,none,none submitted,regional/lead path only,PM/UX/ENG/SUP/BUY,observed,https://www.indiamart.com/,2026-08-24,high,
B03,buyer_guest,3,Inspect catalog item,https://www.indiamart.com/bestdeals-supplies/products-and-services.html,guest intent,B03.evaluated,previous,pdp,Inspect catalog item,supplier content,none,none submitted,regional/lead path only,PM/UX/ENG/SUP/BUY,observed,https://www.indiamart.com/bestdeals-supplies/products-and-services.html,2026-08-24,high,
B04,buyer_guest,4,Get quote/call,https://www.indiamart.com/bestdeals-supplies/products-and-services.html,guest intent,B04.evaluated,previous,quote_gate,Get quote/call,not submitted,none,none submitted,regional/lead path only,PM/UX/ENG/SUP/BUY,observed,https://www.indiamart.com/bestdeals-supplies/products-and-services.html,2026-08-24,high,
B05,buyer_guest,5,Post requirement,https://www.indiamart.com/,guest intent,B05.evaluated,previous,requirement_gate,Post requirement,not submitted,none,none submitted,regional/lead path only,PM/UX/ENG/SUP/BUY,observed,https://www.indiamart.com/,2026-08-24,high,
B06,buyer_guest,6,Receive supplier matching,https://help.indiamart.com/knowledge-base/buy-lead/,guest intent,B06.evaluated,previous,matched_documented,Receive supplier matching,not executed,none,none submitted,regional/lead path only,PM/UX/ENG/SUP/BUY,observed,https://help.indiamart.com/knowledge-base/buy-lead/,2026-08-24,high,
B07,buyer_guest,7,Assess seller/trust,https://help.indiamart.com/knowledge-base/trustseal-pro/,guest intent,B07.evaluated,previous,trust_cues,Assess seller/trust,paid cue scope,none,none submitted,regional/lead path only,PM/UX/ENG/SUP/BUY,observed,https://help.indiamart.com/knowledge-base/trustseal-pro/,2026-08-24,high,
B08,buyer_guest,8,Negotiate,https://www.indiamart.com/terms-of-use.html,guest intent,B08.evaluated,previous,user_negotiation,Negotiate,platform not party,none,none submitted,regional/lead path only,PM/UX/ENG/SUP/BUY,observed,https://www.indiamart.com/terms-of-use.html,2026-08-24,high,
B09,buyer_guest,9,Order/pay,https://www.indiamart.com/terms-of-use.html,guest intent,B09.evaluated,previous,not_observed,Order/pay,transaction not evidenced,none,none submitted,regional/lead path only,PM/UX/ENG/SUP/BUY,observed,https://www.indiamart.com/terms-of-use.html,2026-08-24,high,
B10,buyer_guest,10,Complaint/support,https://help.indiamart.com/knowledge-base/buy-lead/,guest intent,B10.evaluated,previous,support_documented,Complaint/support,no case,none,none submitted,regional/lead path only,PM/UX/ENG/SUP/BUY,observed,https://help.indiamart.com/knowledge-base/buy-lead/,2026-08-24,high,
S01,seller_guest,1,Start selling,https://www.indiamart.com/,guest intent,S01.evaluated,previous,seller_entry,Start selling,not submitted,none,none submitted,regional/lead path only,PM/UX/ENG/SUP/BUY,observed,https://www.indiamart.com/,2026-08-24,high,
S02,seller_guest,2,Create catalog,https://help.indiamart.com/knowledge-base/trustseal-pro/,guest intent,S02.evaluated,previous,catalog_documented,Create catalog,auth-only,none,none submitted,regional/lead path only,PM/UX/ENG/SUP/BUY,observed,https://help.indiamart.com/knowledge-base/trustseal-pro/,2026-08-24,high,
S03,seller_guest,3,Verify TrustSEAL,https://help.indiamart.com/knowledge-base/trustseal-pro/,guest intent,S03.evaluated,previous,vkyc_documented,Verify TrustSEAL,not executed,none,none submitted,regional/lead path only,PM/UX/ENG/SUP/BUY,observed,https://help.indiamart.com/knowledge-base/trustseal-pro/,2026-08-24,high,
S04,seller_guest,4,Choose paid plan,https://help.indiamart.com/knowledge-base/trustseal-pro/,guest intent,S04.evaluated,previous,plan_documented,Choose paid plan,not purchased,none,none submitted,regional/lead path only,PM/UX/ENG/SUP/BUY,observed,https://help.indiamart.com/knowledge-base/trustseal-pro/,2026-08-24,high,
S05,seller_guest,5,Receive enquiries,https://help.indiamart.com/knowledge-base/buy-lead/,guest intent,S05.evaluated,previous,lead_alert,Receive enquiries,none received,none,none submitted,regional/lead path only,PM/UX/ENG/SUP/BUY,observed,https://help.indiamart.com/knowledge-base/buy-lead/,2026-08-24,high,
S06,seller_guest,6,Consume BuyLead,https://help.indiamart.com/knowledge-base/buy-lead/,guest intent,S06.evaluated,previous,contact_unlocked_documented,Consume BuyLead,not consumed,none,none submitted,regional/lead path only,PM/UX/ENG/SUP/BUY,observed,https://help.indiamart.com/knowledge-base/buy-lead/,2026-08-24,high,
S07,seller_guest,7,Contact buyer,https://help.indiamart.com/knowledge-base/buy-lead/,guest intent,S07.evaluated,previous,negotiation_documented,Contact buyer,not contacted,none,none submitted,regional/lead path only,PM/UX/ENG/SUP/BUY,observed,https://help.indiamart.com/knowledge-base/buy-lead/,2026-08-24,high,
S08,seller_guest,8,Ship/order,https://www.indiamart.com/terms-of-use.html,guest intent,S08.evaluated,previous,not_observed,Ship/order,platform not party,none,none submitted,regional/lead path only,PM/UX/ENG/SUP/BUY,observed,https://www.indiamart.com/terms-of-use.html,2026-08-24,high,
