record_id,dimension_id,group,field_name,question,evidence_state,observed_fact,evidence_url,evidence_type,observed_at,region,access_mode,confidence,actor,input,output,page_module,entity,event,state,error_exception,document,personal_data,risk,handoff,inference,gap_reason,next_method,product_implication,metric_name,metric_value,metric_unit,metric_currency,metric_period,metric_territory,metric_classification,metric_method,metric_publisher,source_title,source_publication_date
D00.1,D00,D00 Positioning,positioning_audience_geography,"What is the platform position, audience, geography, category breadth and proposition?",observed,Alibaba.com is described in current Terms as a wholesale-only B2B marketplace for suppliers and professional resellers; Buyer Central presents global sourcing from discovery through delivery.,https://rulechannel.alibaba.com/icbu?type=detail&ruleId=2041&cId=1307#/rule/detail?ruleId=2041&cId=1307,official-policy,2026-08-24,Amsterdam/NL sandbox; guest mode; delivery context observed as US on homepage/PDP,"guest; no account, message, RFQ, order or payment submitted",high,platform; buyer; seller,Capability-specific user intent or prerequisite described by the dimension question.,Alibaba.com is described in current Terms as a wholesale-only B2B marketplace for suppliers and professional resellers; Buyer Central presents global sourcing from discovery through delivery.,https://rulechannel.alibaba.com/icbu?type=detail&ruleId=2041&cId=1307#/rule/detail?ruleId=2041&cId=1307,Positioning Audience Geography,positioning_audience_geography.evaluated,guest/public evidence -> capability recorded,"Authenticated, regional, transactional and edge-case behavior not exercised unless explicitly stated.",Observed document/policy/order artifact where stated; otherwise no document submitted or generated.,No personal data submitted; public pages may display supplier/user content and policies describe account/transaction data.,Do not generalize a sampled listing or publisher claim beyond its stated scope; region and account state may change behavior.,UX; PM; SEO,Capability implication is limited to the cited public evidence and access mode.,,,"Preserve this capability as a stateful, evidence-linked record; keep unknown/auth-only behavior explicit.",countries and regions claimed,190+,countries and regions,not applicable,current Buyer Central snapshot,global platform,market coverage claim,"publisher-stated, not independently audited",Alibaba.com,Alibaba Buyer Central,publication date not stated
D01.1,D01,D01-D10 Discovery,home_page,What does the guest homepage expose?,observed,"Guest homepage exposes destination, language/currency, cart, sign-in/create-account, category navigation and product discovery.",https://www.alibaba.com/,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode; delivery context observed as US on homepage/PDP,"guest; no account, message, RFQ, order or payment submitted",high,guest buyer,Capability-specific user intent or prerequisite described by the dimension question.,"Guest homepage exposes destination, language/currency, cart, sign-in/create-account, category navigation and product discovery.",https://www.alibaba.com/,Home Page,home_page.evaluated,guest/public evidence -> capability recorded,"Authenticated, regional, transactional and edge-case behavior not exercised unless explicitly stated.",Observed document/policy/order artifact where stated; otherwise no document submitted or generated.,No personal data submitted; public pages may display supplier/user content and policies describe account/transaction data.,Do not generalize a sampled listing or publisher claim beyond its stated scope; region and account state may change behavior.,UX; PM; SEO,Capability implication is limited to the cited public evidence and access mode.,,,"Preserve this capability as a stateful, evidence-linked record; keep unknown/auth-only behavior explicit.",,,,,,,,,,,
D02.1,D02,D01-D10 Discovery,global_navigation,Are core destinations visible?,observed,"Guest navigation includes categories, country/delivery context, language/currency, cart and account entry.",https://www.alibaba.com/,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode; delivery context observed as US on homepage/PDP,"guest; no account, message, RFQ, order or payment submitted",high,guest buyer,Capability-specific user intent or prerequisite described by the dimension question.,"Guest navigation includes categories, country/delivery context, language/currency, cart and account entry.",https://www.alibaba.com/,Global Navigation,global_navigation.evaluated,guest/public evidence -> capability recorded,"Authenticated, regional, transactional and edge-case behavior not exercised unless explicitly stated.",Observed document/policy/order artifact where stated; otherwise no document submitted or generated.,No personal data submitted; public pages may display supplier/user content and policies describe account/transaction data.,Do not generalize a sampled listing or publisher claim beyond its stated scope; region and account state may change behavior.,UX; PM; SEO,Capability implication is limited to the cited public evidence and access mode.,,,"Preserve this capability as a stateful, evidence-linked record; keep unknown/auth-only behavior explicit.",,,,,,,,,,,
D03.1,D03,D01-D10 Discovery,search_entry,What search scopes and input constraints are visible?,observed,Homepage exposes category/search discovery; Buyer guide instructs use of product or seller keywords.,https://buyer.alibaba.com/page/HowItWorks/Page.html,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode; delivery context observed as US on homepage/PDP,"guest; no account, message, RFQ, order or payment submitted",high,guest buyer,Capability-specific user intent or prerequisite described by the dimension question.,Homepage exposes category/search discovery; Buyer guide instructs use of product or seller keywords.,https://buyer.alibaba.com/page/HowItWorks/Page.html,Search Entry,search_entry.evaluated,guest/public evidence -> capability recorded,"Authenticated, regional, transactional and edge-case behavior not exercised unless explicitly stated.",Observed document/policy/order artifact where stated; otherwise no document submitted or generated.,No personal data submitted; public pages may display supplier/user content and policies describe account/transaction data.,Do not generalize a sampled listing or publisher claim beyond its stated scope; region and account state may change behavior.,UX; PM; SEO,Capability implication is limited to the cited public evidence and access mode.,,,"Preserve this capability as a stateful, evidence-linked record; keep unknown/auth-only behavior explicit.",,,,,,,,,,,
D04.1,D04,D01-D10 Discovery,search_results,What result layout and count appear for a reproducible query?,observed-not-found,A reproducible live keyword results page was not queried in this run.,https://www.alibaba.com/,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode; delivery context observed as US on homepage/PDP,"guest; no account, message, RFQ, order or payment submitted",medium,guest buyer,Capability-specific user intent or prerequisite described by the dimension question.,A reproducible live keyword results page was not queried in this run.,https://www.alibaba.com/,Search Results,search_results.evaluated,guest/public evidence -> observed-not-found,Terms prohibit systematic retrieval and no manual browser session was available.,Observed document/policy/order artifact where stated; otherwise no document submitted or generated.,No personal data submitted; public pages may display supplier/user content and policies describe account/transaction data.,Do not generalize a sampled listing or publisher claim beyond its stated scope; region and account state may change behavior.,UX; PM; SEO,Capability implication is limited to the cited public evidence and access mode.,Terms prohibit systematic retrieval and no manual browser session was available.,"In an authorized manual dossier run, record query, filters, result count and timestamp.","Preserve this capability as a stateful, evidence-linked record; keep unknown/auth-only behavior explicit.",,,,,,,,,,,
D05.1,D05,D01-D10 Discovery,category_taxonomy,Is a category hierarchy visible?,observed,"Homepage exposes broad category families; Buyer Central claims 5,900+ product categories.",https://buyer.alibaba.com/,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode; delivery context observed as US on homepage/PDP,"guest; no account, message, RFQ, order or payment submitted",medium,guest buyer,Capability-specific user intent or prerequisite described by the dimension question.,"Homepage exposes broad category families; Buyer Central claims 5,900+ product categories.",https://buyer.alibaba.com/,Category Taxonomy,category_taxonomy.evaluated,guest/public evidence -> capability recorded,"Authenticated, regional, transactional and edge-case behavior not exercised unless explicitly stated.",Observed document/policy/order artifact where stated; otherwise no document submitted or generated.,No personal data submitted; public pages may display supplier/user content and policies describe account/transaction data.,Do not generalize a sampled listing or publisher claim beyond its stated scope; region and account state may change behavior.,UX; PM; SEO,Capability implication is limited to the cited public evidence and access mode.,,,"Preserve this capability as a stateful, evidence-linked record; keep unknown/auth-only behavior explicit.",product categories claimed,5900,categories,not applicable,current Buyer Central snapshot,global platform,Alibaba category taxonomy,publisher-stated value; no independent recount,Alibaba.com,Alibaba Buyer Central,publication date not stated
D06.1,D06,D01-D10 Discovery,filters,Are filters evidenced?,observed,Official buyer guide documents narrowing search and a Trade Assurance filter; certification filtering specifics were not exhaustively tested.,https://buyer.alibaba.com/page/HowItWorks/Page.html,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode; delivery context observed as US on homepage/PDP,"guest; no account, message, RFQ, order or payment submitted",high,guest buyer,Capability-specific user intent or prerequisite described by the dimension question.,Official buyer guide documents narrowing search and a Trade Assurance filter; certification filtering specifics were not exhaustively tested.,https://buyer.alibaba.com/page/HowItWorks/Page.html,Filters,filters.evaluated,guest/public evidence -> capability recorded,"Authenticated, regional, transactional and edge-case behavior not exercised unless explicitly stated.",Observed document/policy/order artifact where stated; otherwise no document submitted or generated.,No personal data submitted; public pages may display supplier/user content and policies describe account/transaction data.,Do not generalize a sampled listing or publisher claim beyond its stated scope; region and account state may change behavior.,UX; PM; SEO,Capability implication is limited to the cited public evidence and access mode.,,,"Preserve this capability as a stateful, evidence-linked record; keep unknown/auth-only behavior explicit.",,,,,,,,,,,
D07.1,D07,D01-D10 Discovery,sorting,Which sort controls and defaults exist?,observed,Sample product review module exposes “Most relevant” sorting; search-result sort defaults were not observed.,https://www.alibaba.com/product-detail/STARLII-Low-Moq-Small-Mini-Beer_1601254764933.html,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode; delivery context observed as US on homepage/PDP,"guest; no account, message, RFQ, order or payment submitted",medium,guest buyer,Capability-specific user intent or prerequisite described by the dimension question.,Sample product review module exposes “Most relevant” sorting; search-result sort defaults were not observed.,https://www.alibaba.com/product-detail/STARLII-Low-Moq-Small-Mini-Beer_1601254764933.html,Sorting,sorting.evaluated,guest/public evidence -> capability recorded,"Authenticated, regional, transactional and edge-case behavior not exercised unless explicitly stated.",Observed document/policy/order artifact where stated; otherwise no document submitted or generated.,No personal data submitted; public pages may display supplier/user content and policies describe account/transaction data.,Do not generalize a sampled listing or publisher claim beyond its stated scope; region and account state may change behavior.,UX; PM; SEO,Capability implication is limited to the cited public evidence and access mode.,,,"Preserve this capability as a stateful, evidence-linked record; keep unknown/auth-only behavior explicit.",,,,,,,,,,,
D08.1,D08,D01-D10 Discovery,listing_card,What appears on a guest product card?,observed,Homepage/category cards expose product imagery and links; guide documents badges and supplier assessment cues.,https://www.alibaba.com/,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode; delivery context observed as US on homepage/PDP,"guest; no account, message, RFQ, order or payment submitted",high,guest buyer,Capability-specific user intent or prerequisite described by the dimension question.,Homepage/category cards expose product imagery and links; guide documents badges and supplier assessment cues.,https://www.alibaba.com/,Listing Card,listing_card.evaluated,guest/public evidence -> capability recorded,"Authenticated, regional, transactional and edge-case behavior not exercised unless explicitly stated.",Observed document/policy/order artifact where stated; otherwise no document submitted or generated.,No personal data submitted; public pages may display supplier/user content and policies describe account/transaction data.,Do not generalize a sampled listing or publisher claim beyond its stated scope; region and account state may change behavior.,UX; PM; SEO,Capability implication is limited to the cited public evidence and access mode.,,,"Preserve this capability as a stateful, evidence-linked record; keep unknown/auth-only behavior explicit.",,,,,,,,,,,
D09.1,D09,D01-D10 Discovery,product_detail,Which product fields/actions appear?,observed,"Sample PDP shows supplier metrics, price range, MOQ, sample CTA, variants, shipping quote, delivery estimate, protection, payment, attributes, lead time and reviews.",https://www.alibaba.com/product-detail/STARLII-Low-Moq-Small-Mini-Beer_1601254764933.html,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode; delivery context observed as US on homepage/PDP,"guest; no account, message, RFQ, order or payment submitted",high,guest buyer,Capability-specific user intent or prerequisite described by the dimension question.,"Sample PDP shows supplier metrics, price range, MOQ, sample CTA, variants, shipping quote, delivery estimate, protection, payment, attributes, lead time and reviews.",https://www.alibaba.com/product-detail/STARLII-Low-Moq-Small-Mini-Beer_1601254764933.html,Product Detail,product_detail.evaluated,guest/public evidence -> capability recorded,"Authenticated, regional, transactional and edge-case behavior not exercised unless explicitly stated.",Observed document/policy/order artifact where stated; otherwise no document submitted or generated.,No personal data submitted; public pages may display supplier/user content and policies describe account/transaction data.,Do not generalize a sampled listing or publisher claim beyond its stated scope; region and account state may change behavior.,UX; PM; SEO,Capability implication is limited to the cited public evidence and access mode.,,,"Preserve this capability as a stateful, evidence-linked record; keep unknown/auth-only behavior explicit.",sample PDP lower unit price,0.38,USD per piece,USD,snapshot 2026-08-24,delivery context US; supplier China,sample product listing,direct transcription without rounding,"Fuqing Starlii Cooperation Co., Ltd. via Alibaba.com",STARLII Low MOQ mini beer mug,listing dynamic; access 2026-08-24
