path_id,actor,step,goal,page_module,input,event,state_before,state_after,output,error_exception,document,personal_data,risk,handoff,evidence_state,evidence_url,observed_at,confidence,notes
B01,buyer_guest,1,Enter marketplace and set locale,https://www.alibaba.com/,destination/language/currency context,MarketplaceViewed,outside,guest_home,category/search entry,personalization and region may differ,none,IP/locale inferred by platform,regional availability ambiguity,UX/LOC,observed,https://www.alibaba.com/,2026-08-24,high,
B02,buyer_guest,2,Discover category/products,https://www.alibaba.com/,category or keyword intent,DiscoveryStarted,guest_home,discovery,category links/product cards,live query not executed,none,search behavior if submitted,ranking/ads provenance unknown,SEO/UX,observed,https://www.alibaba.com/,2026-08-24,high,
B03,buyer_guest,3,Inspect product offer,https://www.alibaba.com/product-detail/STARLII-Low-Moq-Small-Mini-Beer_1601254764933.html,sample PDP URL,ProductViewed,discovery,pdp_viewed,price/MOQ/sample/shipping/protection facts,seller data may conflict; MOQ 2 vs attribute MOQ 10,listing,none submitted,single-listing representativeness,PIM/UX,observed,https://www.alibaba.com/product-detail/STARLII-Low-Moq-Small-Mini-Beer_1601254764933.html,2026-08-24,high,
B04,buyer_guest,4,Assess supplier/trust,https://buyer.alibaba.com/page/HowItWorks/Page.html,supplier profile/badges,SupplierAssessed,pdp_viewed,supplier_shortlisted,badge definitions and due-diligence guidance,full profile/auth reports not traversed,verification report if available,none submitted,badge overinterpretation,TNS/BUY,observed,https://buyer.alibaba.com/page/HowItWorks/Page.html,2026-08-24,high,
B05,buyer_guest,5,Contact or negotiate,https://buyer.alibaba.com/page/HowItWorks/Page.html,Contact Supplier/Chat intent,InquiryInitiated,supplier_shortlisted,auth_gate_not_crossed,documented Message Center path,no message sent; account likely required,message/inquiry,would require account/contact/content,off-platform communication can weaken protection evidence,BUY/CS,observed,https://buyer.alibaba.com/page/HowItWorks/Page.html,2026-08-24,high,
B06,buyer_guest,6,Request sample,https://www.alibaba.com/product-detail/STARLII-Low-Moq-Small-Mini-Beer_1601254764933.html,Get sample CTA,SampleIntent,pdp_viewed,sample_cta_observed,sample price and CTA,submission/auth/shipping not exercised,sample order if completed,would require account/address/payment,sample terms vary,BUY/SUP,observed,https://www.alibaba.com/product-detail/STARLII-Low-Moq-Small-Mini-Beer_1601254764933.html,2026-08-24,high,
B07,buyer_guest,7,Start protected order,https://www.alibaba.com/product-detail/STARLII-Low-Moq-Small-Mini-Beer_1601254764933.html,Start order/Add to cart,OrderIntent,pdp_viewed,checkout_not_entered,order-entry CTA and protection text,account/selection/region/payment gate,online order/PO,would require account/address,protection depends on online order/payment terms,FIN/LEG,observed,https://www.alibaba.com/product-detail/STARLII-Low-Moq-Small-Mini-Beer_1601254764933.html,2026-08-24,high,
B08,buyer_guest,8,Pay,https://buyer.alibaba.com/page/HowItWorks/Page.html,agreed order/payment method,PaymentIntent,order_terms_agreed,payment_not_attempted,documented payment options,availability/fees/limits are region/order dependent,payment record,payment and billing data required,do not pay off-platform if seeking Trade Assurance,FIN/CMP,observed,https://buyer.alibaba.com/page/HowItWorks/Page.html,2026-08-24,high,
B09,buyer_guest,9,Ship and track,https://helpcenter.alibaba.com/s/buyer/knowledge?questionId=740804f84ea34811b7eb572838430920sgvpc278077001&categoryId=1000088736&questionId2=20155192&pageId=128&category=1000088736&knowledge=20155192&language=en,paid order,OrderTrackingIntent,paid,auth_gate_not_crossed,documented My Alibaba tracking path,no order exists,shipping documents/tracking,address/contact would be required,logistics marketplace transition; customs responsibility,LOG/TRADE,observed,https://helpcenter.alibaba.com/s/buyer/knowledge?questionId=740804f84ea34811b7eb572838430920sgvpc278077001&categoryId=1000088736&questionId2=20155192&pageId=128&category=1000088736&knowledge=20155192&language=en,2026-08-24,high,
B10,buyer_guest,10,Confirm delivery or claim,https://buyer.alibaba.com/page/tradeassurance/buyer/story.html,delivered protected order,PostDeliveryIntent,delivered,not_executed,refund/mediation and confirmation documented,requires eligible order/evidence and time window,delivery confirmation/refund claim,order/communications/evidence,coverage/exclusions and deadlines,CS/FIN/LEG,observed,https://buyer.alibaba.com/page/tradeassurance/buyer/story.html,2026-08-24,high,
